tag,family,coverage,avg_set_size,abstain_rate,n,rep,aggregation,alpha
rule_alpha0.1,nominal,0.95,1.95,0.95,20,0,rule,0.1
rule_alpha0.1,spoof,0.95,1.65,0.6,20,0,rule,0.1
rule_alpha0.1,gps_degrade,0.9,2.05,0.85,20,0,rule,0.1
rule_alpha0.1,sensor_fault,1.0,2.0,0.75,20,0,rule,0.1
rule_alpha0.2,nominal,0.95,1.55,0.55,20,0,rule,0.2
rule_alpha0.2,spoof,0.85,1.3,0.3,20,0,rule,0.2
rule_alpha0.2,gps_degrade,0.9,1.45,0.4,20,0,rule,0.2
rule_alpha0.2,sensor_fault,0.95,1.4,0.35,20,0,rule,0.2
stacked_alpha0.1,nominal,0.95,1.1,0.1,20,0,stacked,0.1
stacked_alpha0.1,spoof,1.0,1.2,0.2,20,0,stacked,0.1
stacked_alpha0.1,gps_degrade,0.95,1.1,0.1,20,0,stacked,0.1
stacked_alpha0.1,sensor_fault,0.95,0.95,0.05,20,0,stacked,0.1
stacked_alpha0.2,nominal,0.95,1.0,0.0,20,0,stacked,0.2
stacked_alpha0.2,spoof,0.9,1.0,0.0,20,0,stacked,0.2
stacked_alpha0.2,gps_degrade,0.95,1.0,0.0,20,0,stacked,0.2
stacked_alpha0.2,sensor_fault,0.95,0.95,0.05,20,0,stacked,0.2
rule_alpha0.1,nominal,0.9,1.85,0.75,20,1,rule,0.1
rule_alpha0.1,spoof,0.9,2.05,0.9,20,1,rule,0.1
rule_alpha0.1,gps_degrade,0.9,1.75,0.6,20,1,rule,0.1
rule_alpha0.1,sensor_fault,0.85,1.65,0.6,20,1,rule,0.1
rule_alpha0.2,nominal,0.9,1.3,0.3,20,1,rule,0.2
rule_alpha0.2,spoof,0.6,1.6,0.6,20,1,rule,0.2
rule_alpha0.2,gps_degrade,0.9,1.35,0.35,20,1,rule,0.2
rule_alpha0.2,sensor_fault,0.75,1.1,0.1,20,1,rule,0.2
stacked_alpha0.1,nominal,0.9,1.25,0.25,20,1,stacked,0.1
stacked_alpha0.1,spoof,0.6,1.3,0.5,20,1,stacked,0.1
stacked_alpha0.1,gps_degrade,0.9,0.9,0.1,20,1,stacked,0.1
stacked_alpha0.1,sensor_fault,0.95,1.25,0.25,20,1,stacked,0.1
stacked_alpha0.2,nominal,0.9,1.2,0.2,20,1,stacked,0.2
stacked_alpha0.2,spoof,0.55,1.2,0.4,20,1,stacked,0.2
stacked_alpha0.2,gps_degrade,0.85,0.85,0.15,20,1,stacked,0.2
stacked_alpha0.2,sensor_fault,0.95,1.0,0.0,20,1,stacked,0.2
rule_alpha0.1,nominal,0.9,1.7,0.65,20,2,rule,0.1
