rep,aggregation,flight_acc,flight_macro_f1,aurc
0,rule,0.7,0.713836898395722,0.15548597650333396
0,stacked,0.95,0.950956937799043,0.01569251767988148
1,rule,0.6,0.6248408454290808,0.34998451177385215
1,stacked,0.85,0.8480045062078528,0.06840357845780606
2,rule,0.5625,0.5803571428571428,0.30722361487116273
2,stacked,0.8875,0.8916329284750337,0.02925533910242002
3,rule,0.7,0.7069718844984803,0.166421888545002
3,stacked,0.9375,0.9382041866741988,0.013424635979856806
4,rule,0.6375,0.6478243978243978,0.1931688049162458
4,stacked,0.9375,0.9381019387116948,0.0031929856562792924
