tag,family,coverage,avg_set_size,abstain_rate,n,rep,model,alpha
xgb_alpha0.1,nominal,0.85,1.75,0.7,20,0,xgb,0.1
xgb_alpha0.1,spoof,0.95,1.9,0.8,20,0,xgb,0.1
xgb_alpha0.1,gps_degrade,0.95,1.55,0.4,20,0,xgb,0.1
xgb_alpha0.1,sensor_fault,0.9,1.45,0.4,20,0,xgb,0.1
xgb_alpha0.2,nominal,0.8,1.15,0.15,20,0,xgb,0.2
xgb_alpha0.2,spoof,0.7,1.05,0.05,20,0,xgb,0.2
xgb_alpha0.2,gps_degrade,0.95,1.2,0.1,20,0,xgb,0.2
xgb_alpha0.2,sensor_fault,0.75,1.1,0.1,20,0,xgb,0.2
logreg_alpha0.1,nominal,0.9,2.35,1.0,20,0,logreg,0.1
logreg_alpha0.1,spoof,0.85,2.25,0.9,20,0,logreg,0.1
logreg_alpha0.1,gps_degrade,0.9,1.45,0.4,20,0,logreg,0.1
logreg_alpha0.1,sensor_fault,0.85,1.45,0.35,20,0,logreg,0.1
logreg_alpha0.2,nominal,0.75,1.75,0.7,20,0,logreg,0.2
logreg_alpha0.2,spoof,0.85,1.7,0.6,20,0,logreg,0.2
logreg_alpha0.2,gps_degrade,0.9,1.4,0.35,20,0,logreg,0.2
logreg_alpha0.2,sensor_fault,0.85,1.3,0.25,20,0,logreg,0.2
xgb_alpha0.1,nominal,0.95,2.1,0.95,20,1,xgb,0.1
xgb_alpha0.1,spoof,1.0,2.4,0.9,20,1,xgb,0.1
xgb_alpha0.1,gps_degrade,1.0,2.35,0.95,20,1,xgb,0.1
xgb_alpha0.1,sensor_fault,0.95,2.15,0.75,20,1,xgb,0.1
xgb_alpha0.2,nominal,0.7,1.7,0.7,20,1,xgb,0.2
xgb_alpha0.2,spoof,1.0,1.55,0.55,20,1,xgb,0.2
xgb_alpha0.2,gps_degrade,0.95,1.85,0.75,20,1,xgb,0.2
xgb_alpha0.2,sensor_fault,0.65,1.75,0.75,20,1,xgb,0.2
logreg_alpha0.1,nominal,0.9,2.7,0.95,20,1,logreg,0.1
logreg_alpha0.1,spoof,1.0,2.8,1.0,20,1,logreg,0.1
logreg_alpha0.1,gps_degrade,1.0,2.0,0.75,20,1,logreg,0.1
logreg_alpha0.1,sensor_fault,1.0,2.45,0.75,20,1,logreg,0.1
