tag,level,family,coverage,avg_set_size,abstain_rate,empty_rate,n,rep,aggregation,alpha
rule_alpha0.1,fine,nominal,0.95,1.95,0.95,0.0,20,0,rule,0.1
rule_alpha0.1,fine,spoof,1.0,1.65,0.65,0.0,20,0,rule,0.1
rule_alpha0.1,fine,gps_degrade,0.88,2.12,0.9,0.0,50,0,rule,0.1
rule_alpha0.1,fine,sensor_fault,0.95,2.05,0.85,0.0,20,0,rule,0.1
rule_alpha0.1,coarse,nominal,0.95,1.9,0.9,0.0,20,0,rule,0.1
rule_alpha0.1,coarse,gnss_chain,0.9857142857142858,1.3428571428571427,0.32857142857142857,0.0,70,0,rule,0.1
rule_alpha0.1,coarse,non_gnss_fault,0.95,1.9,0.75,0.0,20,0,rule,0.1
rule_alpha0.2,fine,nominal,0.9,1.85,0.85,0.0,20,0,rule,0.2
rule_alpha0.2,fine,spoof,0.95,1.5,0.5,0.0,20,0,rule,0.2
rule_alpha0.2,fine,gps_degrade,0.88,1.74,0.62,0.0,50,0,rule,0.2
rule_alpha0.2,fine,sensor_fault,0.95,1.7,0.6,0.0,20,0,rule,0.2
rule_alpha0.2,coarse,nominal,0.9,1.7,0.7,0.0,20,0,rule,0.2
rule_alpha0.2,coarse,gnss_chain,0.9571428571428572,1.2714285714285714,0.2571428571428571,0.0,70,0,rule,0.2
rule_alpha0.2,coarse,non_gnss_fault,0.95,1.6,0.5,0.0,20,0,rule,0.2
stacked_alpha0.1,fine,nominal,0.95,1.1,0.1,0.0,20,0,stacked,0.1
stacked_alpha0.1,fine,spoof,1.0,1.15,0.15,0.0,20,0,stacked,0.1
stacked_alpha0.1,fine,gps_degrade,0.92,0.96,0.04,0.04,50,0,stacked,0.1
stacked_alpha0.1,fine,sensor_fault,1.0,1.0,0.0,0.0,20,0,stacked,0.1
stacked_alpha0.1,coarse,nominal,0.95,1.0,0.0,0.0,20,0,stacked,0.1
stacked_alpha0.1,coarse,gnss_chain,0.9571428571428572,1.0,0.0,0.0,70,0,stacked,0.1
stacked_alpha0.1,coarse,non_gnss_fault,1.0,1.0,0.0,0.0,20,0,stacked,0.1
stacked_alpha0.2,fine,nominal,0.9,0.95,0.05,0.05,20,0,stacked,0.2
stacked_alpha0.2,fine,spoof,0.85,0.95,0.05,0.05,20,0,stacked,0.2
stacked_alpha0.2,fine,gps_degrade,0.88,0.88,0.12,0.12,50,0,stacked,0.2
stacked_alpha0.2,fine,sensor_fault,0.95,0.95,0.05,0.05,20,0,stacked,0.2
stacked_alpha0.2,coarse,nominal,0.9,0.95,0.05,0.05,20,0,stacked,0.2
stacked_alpha0.2,coarse,gnss_chain,0.9285714285714286,0.9571428571428572,0.04285714285714286,0.04285714285714286,70,0,stacked,0.2
stacked_alpha0.2,coarse,non_gnss_fault,0.95,0.95,0.05,0.05,20,0,stacked,0.2
rule_alpha0.1,fine,nominal,0.9,1.6,0.55,0.0,20,1,rule,0.1
rule_alpha0.1,fine,spoof,0.8,1.85,0.8,0.0,20,1,rule,0.1
rule_alpha0.1,fine,gps_degrade,0.94,1.9,0.62,0.0,50,1,rule,0.1
rule_alpha0.1,fine,sensor_fault,0.9,1.7,0.5,0.0,20,1,rule,0.1
rule_alpha0.1,coarse,nominal,0.9,1.5,0.5,0.0,20,1,rule,0.1
rule_alpha0.1,coarse,gnss_chain,0.9,1.4,0.4,0.0,70,1,rule,0.1
rule_alpha0.1,coarse,non_gnss_fault,0.9,1.5,0.4,0.0,20,1,rule,0.1
rule_alpha0.2,fine,nominal,0.75,1.3,0.3,0.0,20,1,rule,0.2
rule_alpha0.2,fine,spoof,0.7,1.3,0.3,0.0,20,1,rule,0.2
rule_alpha0.2,fine,gps_degrade,0.68,1.34,0.3,0.0,50,1,rule,0.2
rule_alpha0.2,fine,sensor_fault,0.85,1.2,0.15,0.0,20,1,rule,0.2
rule_alpha0.2,coarse,nominal,0.75,1.1,0.1,0.0,20,1,rule,0.2
rule_alpha0.2,coarse,gnss_chain,0.7142857142857143,1.1428571428571428,0.14285714285714285,0.0,70,1,rule,0.2
rule_alpha0.2,coarse,non_gnss_fault,0.85,1.15,0.15,0.0,20,1,rule,0.2
stacked_alpha0.1,fine,nominal,0.8,1.15,0.15,0.0,20,1,stacked,0.1
stacked_alpha0.1,fine,spoof,0.85,1.4,0.4,0.0,20,1,stacked,0.1
stacked_alpha0.1,fine,gps_degrade,0.98,1.06,0.06,0.0,50,1,stacked,0.1
stacked_alpha0.1,fine,sensor_fault,0.95,1.0,0.0,0.0,20,1,stacked,0.1
stacked_alpha0.1,coarse,nominal,0.8,1.05,0.05,0.0,20,1,stacked,0.1
stacked_alpha0.1,coarse,gnss_chain,0.9285714285714286,1.0571428571428572,0.05714285714285714,0.0,70,1,stacked,0.1
stacked_alpha0.1,coarse,non_gnss_fault,0.95,1.0,0.0,0.0,20,1,stacked,0.1
