Aggregation,Level,alpha,Class,Coverage,Mean set size,Abstention,Empty sets
Percentile rule,coarse,0.1,GNSS-chain inconsistency,0.8771428571428572,1.3,0.28857142857142853,0.0
Percentile rule,coarse,0.1,Nominal,0.89,1.58,0.55,0.0
Percentile rule,coarse,0.1,Non-GNSS fault,0.8800000000000001,1.52,0.44000000000000006,0.0
Percentile rule,coarse,0.2,GNSS-chain inconsistency,0.7885714285714286,1.1142857142857143,0.11142857142857139,0.0
Percentile rule,coarse,0.2,Nominal,0.73,1.19,0.19,0.0
Percentile rule,coarse,0.2,Non-GNSS fault,0.82,1.2,0.22000000000000003,0.02
Percentile rule,fine,0.1,GNSS degradation,0.924,1.716,0.548,0.0
Percentile rule,fine,0.1,Nominal,0.89,1.6199999999999999,0.58,0.0
Percentile rule,fine,0.1,Sensor fault,0.8800000000000001,1.6,0.48,0.0
Percentile rule,fine,0.1,Spoof,0.8400000000000001,1.72,0.6599999999999999,0.0
Percentile rule,fine,0.2,GNSS degradation,0.736,1.292,0.264,0.004
Percentile rule,fine,0.2,Nominal,0.73,1.33,0.32999999999999996,0.0
Percentile rule,fine,0.2,Sensor fault,0.82,1.27,0.24,0.0
Percentile rule,fine,0.2,Spoof,0.8,1.26,0.26,0.0
Stacked,coarse,0.1,GNSS-chain inconsistency,0.9342857142857144,1.0257142857142858,0.05999999999999996,0.01714285714285712
Stacked,coarse,0.1,Nominal,0.9,1.0,0.06,0.03
Stacked,coarse,0.1,Non-GNSS fault,0.9299999999999999,1.02,0.08,0.03
Stacked,coarse,0.2,GNSS-chain inconsistency,0.8885714285714286,0.9228571428571429,0.0771428571428571,0.0771428571428571
Stacked,coarse,0.2,Nominal,0.79,0.8699999999999999,0.13,0.13
Stacked,coarse,0.2,Non-GNSS fault,0.8300000000000001,0.8400000000000001,0.16,0.16
Stacked,fine,0.1,GNSS degradation,0.9039999999999999,0.952,0.08,0.06400000000000002
Stacked,fine,0.1,Nominal,0.9,1.1400000000000001,0.13999999999999999,0.0
Stacked,fine,0.1,Sensor fault,0.9299999999999999,1.03,0.06999999999999999,0.02
Stacked,fine,0.1,Spoof,0.93,1.25,0.25,0.0
Stacked,fine,0.2,GNSS degradation,0.772,0.796,0.20400000000000001,0.20400000000000001
Stacked,fine,0.2,Nominal,0.79,0.89,0.11000000000000001,0.11000000000000001
Stacked,fine,0.2,Sensor fault,0.8300000000000001,0.8400000000000001,0.16,0.16
Stacked,fine,0.2,Spoof,0.73,0.85,0.16999999999999998,0.15999999999999998
