tag,level,family,coverage,avg_set_size,multi_label_rate,empty_rate,non_singleton_rate,verdict_outside_set_rate,operational_abstain_rate,n,rep,aggregation,alpha
rule_alpha0.1,fine,nominal,0.95,1.95,0.95,0.0,0.95,0.0,0.95,20,0,rule,0.1
rule_alpha0.1,fine,spoof,1.0,1.65,0.65,0.0,0.65,0.0,0.65,20,0,rule,0.1
rule_alpha0.1,fine,gps_degrade,0.75,2.2,0.9,0.0,0.9,0.0,0.9,20,0,rule,0.1
rule_alpha0.1,fine,sensor_fault,0.95,2.05,0.85,0.0,0.85,0.0,0.85,20,0,rule,0.1
rule_alpha0.1,coarse,nominal,0.95,1.9,0.9,0.0,0.9,0.0,0.9,20,0,rule,0.1
rule_alpha0.1,coarse,gnss_chain,0.975,1.425,0.4,0.0,0.4,0.0,0.4,40,0,rule,0.1
rule_alpha0.1,coarse,non_gnss_fault,0.95,1.9,0.75,0.0,0.75,0.0,0.75,20,0,rule,0.1
rule_alpha0.2,fine,nominal,0.9,1.85,0.85,0.0,0.85,0.0,0.85,20,0,rule,0.2
rule_alpha0.2,fine,spoof,0.95,1.5,0.5,0.0,0.5,0.0,0.5,20,0,rule,0.2
rule_alpha0.2,fine,gps_degrade,0.75,1.75,0.7,0.0,0.7,0.1,0.7,20,0,rule,0.2
rule_alpha0.2,fine,sensor_fault,0.95,1.7,0.6,0.0,0.6,0.0,0.6,20,0,rule,0.2
rule_alpha0.2,coarse,nominal,0.9,1.7,0.7,0.0,0.7,0.0,0.7,20,0,rule,0.2
rule_alpha0.2,coarse,gnss_chain,0.925,1.3,0.275,0.0,0.275,0.0,0.275,40,0,rule,0.2
rule_alpha0.2,coarse,non_gnss_fault,0.95,1.6,0.5,0.0,0.5,0.0,0.5,20,0,rule,0.2
stacked_alpha0.1,fine,nominal,0.95,1.1,0.1,0.0,0.1,0.0,0.1,20,0,stacked,0.1
stacked_alpha0.1,fine,spoof,1.0,1.15,0.15,0.0,0.15,0.0,0.15,20,0,stacked,0.1
stacked_alpha0.1,fine,gps_degrade,0.8,0.9,0.0,0.1,0.1,0.2,0.2,20,0,stacked,0.1
stacked_alpha0.1,fine,sensor_fault,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20,0,stacked,0.1
stacked_alpha0.1,coarse,nominal,0.95,1.0,0.0,0.0,0.0,0.1,0.1,20,0,stacked,0.1
stacked_alpha0.1,coarse,gnss_chain,0.925,1.0,0.0,0.0,0.0,0.075,0.075,40,0,stacked,0.1
stacked_alpha0.1,coarse,non_gnss_fault,1.0,1.0,0.0,0.0,0.0,0.0,0.0,20,0,stacked,0.1
stacked_alpha0.2,fine,nominal,0.9,0.95,0.0,0.05,0.05,0.1,0.1,20,0,stacked,0.2
stacked_alpha0.2,fine,spoof,0.85,0.95,0.0,0.05,0.05,0.15,0.15,20,0,stacked,0.2
stacked_alpha0.2,fine,gps_degrade,0.7,0.7,0.0,0.3,0.3,0.3,0.3,20,0,stacked,0.2
stacked_alpha0.2,fine,sensor_fault,0.95,0.95,0.0,0.05,0.05,0.05,0.05,20,0,stacked,0.2
stacked_alpha0.2,coarse,nominal,0.9,0.95,0.0,0.05,0.05,0.1,0.1,20,0,stacked,0.2
stacked_alpha0.2,coarse,gnss_chain,0.875,0.925,0.0,0.075,0.075,0.125,0.125,40,0,stacked,0.2
stacked_alpha0.2,coarse,non_gnss_fault,0.95,0.95,0.0,0.05,0.05,0.05,0.05,20,0,stacked,0.2
rule_alpha0.1,fine,nominal,0.9,1.6,0.55,0.0,0.55,0.0,0.55,20,1,rule,0.1
rule_alpha0.1,fine,spoof,0.8,1.85,0.8,0.0,0.8,0.0,0.8,20,1,rule,0.1
rule_alpha0.1,fine,gps_degrade,0.9,2.05,0.7,0.0,0.7,0.0,0.7,20,1,rule,0.1
rule_alpha0.1,fine,sensor_fault,0.9,1.7,0.5,0.0,0.5,0.0,0.5,20,1,rule,0.1
rule_alpha0.1,coarse,nominal,0.9,1.5,0.5,0.0,0.5,0.0,0.5,20,1,rule,0.1
rule_alpha0.1,coarse,gnss_chain,0.875,1.5,0.5,0.0,0.5,0.0,0.5,40,1,rule,0.1
