rep,aggregation,flight_acc,flight_macro_f1,aurc,coarse_acc,coarse_macro_f1,flight_ece10,flight_nll,flight_brier,coarse_ece10,coarse_nll,coarse_brier
0,rule,0.65,0.6542703750150558,0.20538001192712718,0.7375,0.731024531024531,0.05973062159581791,1.011983678528071,0.5128211872140678,0.06444459793279778,0.6414917018583488,0.3787377388024746
0,stacked_probs_only,0.9625,0.9622878692646134,0.01061494376905973,0.9625,0.9609247802018887,0.12426108291707195,0.24009158271895698,0.11149927227011572,0.09359459411061613,0.20261198250399182,0.09840859942701882
0,stacked_raw_only,0.8625,0.8548800661703887,0.0281587437431687,0.875,0.8857142857142857,0.1288700497853605,0.39011093691708465,0.21783854521718893,0.14215085660525534,0.3398098585595359,0.19477450668879465
0,stacked,0.9625,0.9622878692646134,0.007926289471006752,0.9625,0.9609247802018887,0.09039634762375118,0.19359795811770888,0.08932496896607443,0.07525991187687986,0.15694571139787322,0.07188472225783295
0,stacked_no_gap,0.975,0.9749373433583959,0.005458797103170054,0.975,0.9743260590500641,0.10959664328044857,0.20154001783606015,0.08974997191702262,0.08386722818850023,0.16364840618067178,0.07155305317303398
1,rule,0.575,0.5986885663356252,0.30630559332374424,0.625,0.6412698412698412,0.12879639894040956,1.15697742696949,0.5951427991244758,0.11187385885269789,0.7251034822079662,0.46031454337610533
1,stacked_probs_only,0.8,0.801500938086304,0.09830998879321301,0.8625,0.8607154162709718,0.07276157844663157,0.5295262550871248,0.2872396114526172,0.04150573736820034,0.4044131312153164,0.22258536561634124
1,stacked_raw_only,0.85,0.8411008634222921,0.04231289164754693,0.9,0.9074074074074074,0.13348322209469068,0.4264240505299203,0.2427654413940666,0.1444773901020301,0.34460811095974336,0.19933873800943896
1,stacked,0.8625,0.8641841634497693,0.062386727087480394,0.9,0.8973042362002568,0.05958343971995653,0.41765173441520814,0.22972823621029984,0.06388324350861614,0.3405270499938391,0.18129064379116724
1,stacked_no_gap,0.825,0.8261108456760631,0.06508430822146735,0.8625,0.8521008403361344,0.06520811997268008,0.43942432081585264,0.23945670617017806,0.06606616797282892,0.36388783272124325,0.19241877981606723
2,rule,0.575,0.5967455959734614,0.24734037095820974,0.6375,0.6284437825763217,0.11013206276014778,1.0823891480870738,0.5695674200757848,0.1316168496783275,0.7986868017129034,0.4604220471831626
2,stacked_probs_only,0.95,0.95,0.021004756089344333,0.975,0.975,0.16040840949685695,0.30482853783008157,0.15180042087364037,0.14701885645552856,0.22237276546026533,0.1069056201780042
2,stacked_raw_only,0.85,0.8458164642375168,0.024970576856009175,0.875,0.8787524366471735,0.1828612870703581,0.4093793666821792,0.22243881067592422,0.15304228771024217,0.35536676281664803,0.2034423092779501
2,stacked,0.9125,0.9128698514128553,0.007226215712741214,0.925,0.9225994040148944,0.09325193287513266,0.23292863206917458,0.11619625645092643,0.08647719079066535,0.19445020731768475,0.0984794061349344
2,stacked_no_gap,0.9,0.9001889887319926,0.00764826030903423,0.925,0.9199075778023146,0.10668908401822073,0.2591189714391067,0.12458295764979557,0.11667620326051714,0.2182788888953306,0.10414205503726096
3,rule,0.7,0.7167415917415918,0.16378943665548476,0.7125,0.7044542758828474,0.08871688736962226,0.9183155501147577,0.4841288307289579,0.08251950771958484,0.6389498111180973,0.3905280505350098
3,stacked_probs_only,0.8875,0.8887116948092557,0.05112900087740053,0.9,0.9,0.10581123214802776,0.44318932974060815,0.20694406493514617,0.0981961073241998,0.36261188936798144,0.1855419699011685
3,stacked_raw_only,0.8125,0.7998014888337469,0.04524639845685807,0.8625,0.873526875538948,0.1289523516897193,0.4360796282392648,0.2436459355027087,0.11777167375084945,0.3447288632462361,0.19633056058743034
3,stacked,0.9,0.8999999999999999,0.04204207584056545,0.9125,0.9113643558088002,0.07285508176792216,0.36985709047651316,0.16654451451874608,0.07606577695805306,0.3206171314069182,0.1537672302583601
3,stacked_no_gap,0.9,0.901098901098901,0.05623503152423307,0.9125,0.9113643558088002,0.05323185529668013,0.37875026419725716,0.16477304450651764,0.055570504486639825,0.3431552601486323,0.1500486364233385
4,rule,0.625,0.6348800062873732,0.21743567153769375,0.6875,0.6759759321429151,0.053581037025632064,1.102002981014085,0.5581192874052163,0.05393272809532524,0.7464150892823214,0.43164636208550344
4,stacked_probs_only,0.9375,0.9374609130706691,0.012037119626957301,0.95,0.9500000000000001,0.11606402536822617,0.26358598151032914,0.133574607646821,0.10782317819854859,0.2364398286966451,0.12775266553857265
4,stacked_raw_only,0.8,0.7791701475912002,0.04143841371611719,0.8375,0.8535623767952689,0.1749672443217807,0.4365886558969992,0.2474975786891754,0.14515931762087078,0.3646138896134212,0.21497625807077264
4,stacked,0.925,0.9258241758241759,0.009584878050975689,0.925,0.9227368974204416,0.0826394162277293,0.22355126229371097,0.11694842141756308,0.06616518633827512,0.20203759595184012,0.11142457539049391
4,stacked_no_gap,0.9375,0.9381019387116948,0.008599426630839459,0.925,0.9208768597657486,0.10836507858968338,0.2301291386295073,0.11696115641505486,0.08874937278825992,0.2080933656543385,0.11126667870155985
