flight_id,family,subtype,q_nominal,q_spoof,q_gps_degrade,q_sensor_fault,pred,conf,qc_nominal,qc_gnss_chain,qc_non_gnss_fault,coarse_family,coarse_pred,coarse_conf,rep,aggregation
f105048958709988_gps_degrade,gps_degrade,no_fix_then_ok,0.04882792120762389,0.24353990607451703,0.6956532738804905,0.011978898837368735,gps_degrade,0.6956532738804905,0.04882792120762389,0.9391931799550075,0.011978898837368735,gnss_chain,gnss_chain,0.9391931799550075,2,stacked
f152849246098291_gps_degrade,gps_degrade,no_fix_then_ok,0.016658241760893956,0.00831845956467523,0.9700432236304554,0.004980075043975484,gps_degrade,0.9700432236304554,0.016658241760893956,0.9783616831951306,0.004980075043975484,gnss_chain,gnss_chain,0.9783616831951306,2,stacked
f154051046525415_gps_degrade,gps_degrade,no_fix_then_ok,0.004064917706581586,0.0035399438454907423,0.9898790822227279,0.0025160562251997035,gps_degrade,0.9898790822227279,0.004064917706581586,0.9934190260682186,0.0025160562251997035,gnss_chain,gnss_chain,0.9934190260682186,2,stacked
f20260909005_nominal,nominal,none,0.4403067103124566,0.532868028633971,0.014491569389316637,0.012333691664255927,spoof,0.532868028633971,0.4403067103124566,0.5473595980232876,0.012333691664255927,nominal,gnss_chain,0.5473595980232876,2,stacked
f20260909006_nominal,nominal,none,0.959489825068438,0.017849194283197808,0.005399865142617146,0.017261115505747104,nominal,0.959489825068438,0.959489825068438,0.023249059425814955,0.017261115505747104,nominal,nominal,0.959489825068438,2,stacked
f20260909011_nominal,nominal,none,0.5387887203482598,0.3955424335260147,0.022355835912991586,0.043313010212733954,nominal,0.5387887203482598,0.5387887203482598,0.41789826943900626,0.043313010212733954,nominal,nominal,0.5387887203482598,2,stacked
f20260909016_nominal,nominal,none,0.8740457785844402,0.09327940097580124,0.014448967142686233,0.01822585329707243,nominal,0.8740457785844402,0.8740457785844402,0.10772836811848747,0.01822585329707243,nominal,nominal,0.8740457785844402,2,stacked
f20260909025_nominal,nominal,none,0.7821375941350727,0.10917367469441146,0.011583797892140483,0.09710493327837548,nominal,0.7821375941350727,0.7821375941350727,0.12075747258655194,0.09710493327837548,nominal,nominal,0.7821375941350727,2,stacked
f20260909027_nominal,nominal,none,0.9474680987235239,0.023503002249058998,0.008087653176289579,0.020941245851127565,nominal,0.9474680987235239,0.9474680987235239,0.03159065542534858,0.020941245851127565,nominal,nominal,0.9474680987235239,2,stacked
f20260909028_nominal,nominal,none,0.7595013680396239,0.19438689606930137,0.020267924966915336,0.025843810924159508,nominal,0.7595013680396239,0.7595013680396239,0.21465482103621672,0.025843810924159508,nominal,nominal,0.7595013680396239,2,stacked
f20260909030_nominal,nominal,none,0.797162260632731,0.15265357068646357,0.018734436715688026,0.031449731965117515,nominal,0.797162260632731,0.797162260632731,0.1713880074021516,0.031449731965117515,nominal,nominal,0.797162260632731,2,stacked
