flight_id,family,subtype,q_nominal,q_spoof,q_gps_degrade,q_sensor_fault,pred,conf,qc_nominal,qc_gnss_chain,qc_non_gnss_fault,coarse_family,coarse_pred,coarse_conf,set_fine_a0.1,set_coarse_a0.1,set_fine_a0.2,set_coarse_a0.2,rep,aggregation
f115936881981907_gps_degrade,gps_degrade,no_fix_then_ok,0.04107647450389362,0.0034547959266177882,0.948946873699656,0.006521855869832653,gps_degrade,0.948946873699656,0.04107647450389362,0.9524016696262738,0.006521855869832653,gnss_chain,gnss_chain,0.9524016696262738,gps_degrade,gnss_chain,gps_degrade,gnss_chain,3,stacked
f138645354163671_gps_degrade,gps_degrade,no_fix_then_ok,0.00029683925754456924,0.00015306276721594218,0.9991372285703796,0.0004128694048600033,gps_degrade,0.9991372285703796,0.00029683925754456924,0.9992902913375955,0.0004128694048600033,gnss_chain,gnss_chain,0.9992902913375955,gps_degrade,gnss_chain,gps_degrade,gnss_chain,3,stacked
f152849246098291_gps_degrade,gps_degrade,no_fix_then_ok,0.02427694109850128,0.002838010400576792,0.9694540850607639,0.0034309634401579825,gps_degrade,0.9694540850607639,0.02427694109850128,0.9722920954613407,0.0034309634401579825,gnss_chain,gnss_chain,0.9722920954613407,gps_degrade,gnss_chain,gps_degrade,gnss_chain,3,stacked
f20260909006_nominal,nominal,none,0.9645811234353121,0.016854885698097538,0.009002645226903892,0.00956134563968649,nominal,0.9645811234353121,0.9645811234353121,0.02585753092500143,0.00956134563968649,nominal,nominal,0.9645811234353121,nominal,nominal,nominal,nominal,3,stacked
f20260909007_nominal,nominal,none,0.7291075582679145,0.20272404151475892,0.024640887008126645,0.04352751320920001,nominal,0.7291075582679145,0.7291075582679145,0.22736492852288556,0.04352751320920001,nominal,nominal,0.7291075582679145,nominal,nominal,nominal,nominal,3,stacked
f20260909009_nominal,nominal,none,0.8685804723160242,0.0923804988609465,0.01412785858881026,0.024911170234219168,nominal,0.8685804723160242,0.8685804723160242,0.10650835744975676,0.024911170234219168,nominal,nominal,0.8685804723160242,nominal,nominal,nominal,nominal,3,stacked
f20260909010_nominal,nominal,none,0.915657241921266,0.05290708319353419,0.012345201758763474,0.019090473126436327,nominal,0.915657241921266,0.915657241921266,0.06525228495229767,0.019090473126436327,nominal,nominal,0.915657241921266,nominal,nominal,nominal,nominal,3,stacked
f20260909012_nominal,nominal,none,0.6546278780826668,0.2871047308259897,0.024387512137947955,0.03387987895339559,nominal,0.6546278780826668,0.6546278780826668,0.3114922429639376,0.03387987895339559,nominal,nominal,0.6546278780826668,nominal,nominal,nominal,nominal,3,stacked
f20260909013_nominal,nominal,none,0.5533831689890069,0.3964876915513484,0.017404468223152156,0.03272467123649267,nominal,0.5533831689890069,0.5533831689890069,0.41389215977450056,0.03272467123649267,nominal,nominal,0.5533831689890069,"nominal,spoof",nominal,,,3,stacked
f20260909019_nominal,nominal,none,0.250274156303004,0.6710606696202714,0.02400858217113689,0.05465659190558769,spoof,0.6710606696202714,0.250274156303004,0.6950692517914083,0.05465659190558769,nominal,gnss_chain,0.6950692517914083,spoof,,,,3,stacked
