method,family,subtype,n,detected_within_60s,median_abs_error_s,within_10s,median_signed_error_s,early_alert_rate
cusum,gps_degrade,no_fix_then_ok,17.0,0.9411764705882353,3.2139999999999986,0.9411764705882353,-3.2139999999999986,0.058823529411764705
cusum,gps_degrade,off_then_ok,16.0,0.8125,3.3999999999999986,0.8125,-3.3999999999999986,0.1875
cusum,gps_degrade,stuck_then_ok,17.0,1.0,2.8320000000000007,1.0,-2.8320000000000007,0.0
cusum,sensor_fault,baro_stuck,7.0,1.0,0.9439999999999991,1.0,-0.9439999999999991,0.0
cusum,sensor_fault,mag_stuck,13.0,1.0,2.3200000000000003,1.0,0.07200000000000273,0.0
cusum,spoof,drift_coherent,8.0,0.75,11.442,0.5,8.334,0.0
cusum,spoof,drift_incoherent,7.0,1.0,2.2600000000000016,1.0,-2.2600000000000016,0.0
cusum,spoof,jump,5.0,0.8,3.7380000000000013,0.8,-3.7380000000000013,0.2
rule,gps_degrade,no_fix_then_ok,17.0,1.0,3.2439999999999998,1.0,-3.2439999999999998,0.058823529411764705
rule,gps_degrade,off_then_ok,16.0,0.9375,3.4619999999999997,0.8125,-3.016,0.1875
rule,gps_degrade,stuck_then_ok,17.0,1.0,2.8320000000000007,1.0,-2.8320000000000007,0.0
rule,sensor_fault,baro_stuck,7.0,1.0,0.9439999999999991,1.0,-0.9439999999999991,0.0
rule,sensor_fault,mag_stuck,13.0,1.0,2.3200000000000003,1.0,0.07200000000000273,0.0
rule,spoof,drift_coherent,8.0,0.875,3.6400000000000006,0.75,-2.5920000000000005,0.0
rule,spoof,drift_incoherent,7.0,1.0,2.2600000000000016,1.0,-2.2600000000000016,0.0
rule,spoof,jump,5.0,0.8,3.7380000000000013,0.8,-3.7380000000000013,0.2
rule,nominal,none,20.0,,,,,0.4
cusum,nominal,none,20.0,,,,,0.05
