Aggregation,Level,alpha,Class,Coverage,Mean set size,Multi-label,Empty,Non-singleton,Verdict outside set,Operational abstention
Percentile rule,coarse,0.1,GNSS-chain inconsistency,0.855 ± 0.073,1.345 ± 0.109,0.330 ± 0.111,0.000 ± 0.000,0.330 ± 0.111,0.000 ± 0.000,0.330 ± 0.111
Percentile rule,coarse,0.1,Nominal,0.890 ± 0.073,1.580 ± 0.194,0.550 ± 0.200,0.000 ± 0.000,0.550 ± 0.200,0.000 ± 0.000,0.550 ± 0.200
Percentile rule,coarse,0.1,Non-GNSS fault,0.880 ± 0.093,1.520 ± 0.194,0.440 ± 0.159,0.000 ± 0.000,0.440 ± 0.159,0.020 ± 0.024,0.450 ± 0.152
Percentile rule,coarse,0.2,GNSS-chain inconsistency,0.735 ± 0.116,1.120 ± 0.094,0.115 ± 0.085,0.000 ± 0.000,0.115 ± 0.085,0.020 ± 0.019,0.135 ± 0.080
Percentile rule,coarse,0.2,Nominal,0.730 ± 0.112,1.190 ± 0.258,0.190 ± 0.258,0.000 ± 0.000,0.190 ± 0.258,0.060 ± 0.073,0.250 ± 0.241
Percentile rule,coarse,0.2,Non-GNSS fault,0.820 ± 0.150,1.200 ± 0.230,0.200 ± 0.170,0.020 ± 0.040,0.220 ± 0.150,0.080 ± 0.075,0.280 ± 0.129
Percentile rule,fine,0.1,GNSS degradation,0.880 ± 0.093,1.760 ± 0.328,0.570 ± 0.220,0.000 ± 0.000,0.570 ± 0.220,0.000 ± 0.000,0.570 ± 0.220
Percentile rule,fine,0.1,Nominal,0.890 ± 0.073,1.620 ± 0.181,0.580 ± 0.194,0.000 ± 0.000,0.580 ± 0.194,0.000 ± 0.000,0.580 ± 0.194
Percentile rule,fine,0.1,Sensor fault,0.880 ± 0.093,1.600 ± 0.251,0.480 ± 0.196,0.000 ± 0.000,0.480 ± 0.196,0.020 ± 0.024,0.490 ± 0.188
Percentile rule,fine,0.1,Spoof,0.840 ± 0.080,1.720 ± 0.209,0.660 ± 0.193,0.000 ± 0.000,0.660 ± 0.193,0.000 ± 0.000,0.660 ± 0.193
Percentile rule,fine,0.2,GNSS degradation,0.640 ± 0.097,1.280 ± 0.250,0.270 ± 0.232,0.000 ± 0.000,0.270 ± 0.232,0.030 ± 0.040,0.280 ± 0.223
Percentile rule,fine,0.2,Nominal,0.730 ± 0.112,1.330 ± 0.280,0.330 ± 0.280,0.000 ± 0.000,0.330 ± 0.280,0.040 ± 0.080,0.350 ± 0.277
Percentile rule,fine,0.2,Sensor fault,0.820 ± 0.150,1.270 ± 0.232,0.240 ± 0.198,0.000 ± 0.000,0.240 ± 0.198,0.060 ± 0.049,0.290 ± 0.171
Percentile rule,fine,0.2,Spoof,0.800 ± 0.084,1.260 ± 0.146,0.260 ± 0.146,0.000 ± 0.000,0.260 ± 0.146,0.000 ± 0.000,0.260 ± 0.146
"Stacked, full",coarse,0.1,GNSS-chain inconsistency,0.885 ± 0.058,1.040 ± 0.127,0.070 ± 0.098,0.030 ± 0.048,0.100 ± 0.088,0.060 ± 0.051,0.130 ± 0.076
"Stacked, full",coarse,0.1,Nominal,0.900 ± 0.084,1.000 ± 0.084,0.030 ± 0.040,0.030 ± 0.060,0.060 ± 0.058,0.050 ± 0.063,0.080 ± 0.051
"Stacked, full",coarse,0.1,Non-GNSS fault,0.930 ± 0.068,1.020 ± 0.129,0.050 ± 0.100,0.030 ± 0.060,0.080 ± 0.103,0.060 ± 0.058,0.110 ± 0.132
"Stacked, full",coarse,0.2,GNSS-chain inconsistency,0.810 ± 0.051,0.870 ± 0.071,0.000 ± 0.000,0.130 ± 0.071,0.130 ± 0.071,0.160 ± 0.037,0.160 ± 0.037
"Stacked, full",coarse,0.2,Nominal,0.790 ± 0.066,0.870 ± 0.093,0.000 ± 0.000,0.130 ± 0.093,0.130 ± 0.093,0.140 ± 0.086,0.140 ± 0.086
"Stacked, full",coarse,0.2,Non-GNSS fault,0.830 ± 0.154,0.840 ± 0.159,0.000 ± 0.000,0.160 ± 0.159,0.160 ± 0.159,0.170 ± 0.154,0.170 ± 0.154
"Stacked, full",fine,0.1,GNSS degradation,0.840 ± 0.066,0.900 ± 0.084,0.010 ± 0.020,0.110 ± 0.066,0.120 ± 0.051,0.150 ± 0.084,0.160 ± 0.066
"Stacked, full",fine,0.1,Nominal,0.900 ± 0.084,1.140 ± 0.116,0.140 ± 0.116,0.000 ± 0.000,0.140 ± 0.116,0.000 ± 0.000,0.140 ± 0.116
"Stacked, full",fine,0.1,Sensor fault,0.930 ± 0.068,1.030 ± 0.117,0.050 ± 0.100,0.020 ± 0.040,0.070 ± 0.098,0.060 ± 0.058,0.110 ± 0.132
"Stacked, full",fine,0.1,Spoof,0.930 ± 0.068,1.250 ± 0.217,0.250 ± 0.217,0.000 ± 0.000,0.250 ± 0.217,0.020 ± 0.040,0.270 ± 0.201
"Stacked, full",fine,0.2,GNSS degradation,0.740 ± 0.097,0.750 ± 0.110,0.000 ± 0.000,0.250 ± 0.110,0.250 ± 0.110,0.250 ± 0.110,0.250 ± 0.110
"Stacked, full",fine,0.2,Nominal,0.790 ± 0.066,0.890 ± 0.086,0.000 ± 0.000,0.110 ± 0.086,0.110 ± 0.086,0.120 ± 0.081,0.120 ± 0.081
"Stacked, full",fine,0.2,Sensor fault,0.830 ± 0.154,0.840 ± 0.159,0.000 ± 0.000,0.160 ± 0.159,0.160 ± 0.159,0.170 ± 0.154,0.170 ± 0.154
"Stacked, full",fine,0.2,Spoof,0.730 ± 0.147,0.850 ± 0.105,0.010 ± 0.020,0.160 ± 0.102,0.170 ± 0.103,0.220 ± 0.093,0.230 ± 0.103
